Year,Month,Loaded Imports,Empty Imports,Loaded Exports,Empty Exports
2023,January,323981,1537,112269,207643
2022,January,398215,1697,100663,264475
2022,February,385539,674,103782,269253
2022,March,442976,1378,119248,298515
2022,April,419658,2279,113536,276313
2022,May,426423,1353,118552,298977
2022,June,440804,1660,109843,307646
2022,July,402969,1821,95823,275554
2022,August,428721,1750,109058,303662
2022,September,423424,1770,103263,313762
2022,October,382453,1848,112325,295922
2022,November,349658,1975,110111,261325
2022,December,303596,2434,102866,204115
2021,January,371392,1645,108378,239509
2021,February,334176,2290,94698,193956
2021,March,393159,2376,126699,267542
2021,April,359265,2568,121671,229295
2021,May,396417,2291,134458,263527
2021,June,386771,1678,112987,247964
2021,July,393945,2754,111159,250952
2021,August,399716,1688,103886,275492
2021,September,379190,1968,99893,243367
2021,October,398535,2530,120250,275389
2021,November,382074,1971,118155,257192
2021,December,392348,3025,106136,269244
2020,January,322643,2001,118488,173892
2020,February,300445,1314,113801,163564
2020,March,271511,1837,136780,150702
2020,April,284074,1289,97312,177254
2020,May,266004,1004,95462,174942
2020,June,264054,2782,97769,146701
2020,July,326079,2785,102740,175859
2020,August,366887,1981,103067,216430
2020,September,374649,2107,114690,229523
2020,October,403103,2312,118281,231741
2020,November,382912,3307,118762,233904
2020,December,358325,2921,103891,243938
2019,January,327345,1016,111833,182337
2019,February,295523,977,113358,175358
2019,March,282981,1302,130038,170777
2019,April,297825,1550,131311,174577
2019,May,340680,1263,132315,169448
2019,June,301708,1601,122663,185055
2019,July,336972,1756,118015,206251
2019,August,342541,1932,127237,207875
2019,September,315866,1721,116231,191143
2019,October,339443,1509,127256,198173
2019,November,301123,1337,119422,177744
2019,December,288964,1544,110768,183467
2018,January,309003,1898,112893,162070
2018,February,274638,821,116702,129760
2018,March,288462,1571,132105,150438
2018,April,272903,707,134843,142664
2018,May,302081,1460,130341,159743
2018,June,310481,1571,129505,183809
2018,July,322093,1458,116441,182567
2018,August,333567,1549,125115,191521
2018,September,304125,1318,116711,180880
2018,October,339602,1297,130782,187027
2018,November,301826,2055,115415,164584
2018,December,317332,1094,115927,175037